,topic_name,topic_id,words
40,Трудовые отношения,40,"профсоюз, профсоюзныи, всесоюзныи, электропрофсоюз, работник, евросоюз, трудовои, союз, зарплата, зарплатныи, контрактация, увольнение, совмещение, работодатель, объединение, рабочии, коллектив, совместитель, коллективныи, трудиться, сотрудник, труд, подрядныи, единство, трудоустроиство, уволить, контракт, уволиться, подрядчик, безработица, трудник, антикоррупция, коллегия, единичныи, единыи, контрактныи, кадровыи, персонал, сокращение, минтруд, объединять, коллегиальныи, отпуск, трудоустроить, трудозатрата, сотруд, сотрудничество, трудоемкость, производствен, разделение"
41,Безопасность и охрана здоровья,41,"аварииность, травматизм, травма, травмирование, повреждение, происшествие, смертность, авария, случаи, катастрофа, статистика, несчастныи, работник, убыток, событие, коэффициент, статистическии, случаиныи, смертельныи, профсоюз, профсоюзныи, факторинг, фактор, опасность, производствен, пасность, персонал, разрушение, страховщик, заболеваемость, опасение, ущерб, инцидент, инвалидность, численность, обесценение, больничныи, падение, страхование, сотрудник, смерть, избыток, возникновение, бедствие, погибшии, рабочии, аварииныи, нарушитель, трудник, сокращение"
42,Профсоюзы и коллективные договоры,42,"профсоюз, электропрофсоюз, профсоюзныи, всесоюзныи, федерация, объединение, контрактация, совмещение, евросоюз, союз, зарплата, разделение, единство, совместитель, координация, работник, координационныи, зарплатныи, связанность, присоединение, объединять, возгорание, теплообменныи, координировать, контракт, теплоэнергетика, соединять, единичныи, увольнение, сотрудничество, подрядчик, соединение, работодатель, сокращение, горячии, соединить, отпуск, согласованность, согласование, теплоэнергия, совместныи, единовременныи, коалиция, партнерство, слияние, единыи, соединительныи, коллегия, взаиморасчет, коллектив"
43,Инвестиции и капитальные вложения,43,"стратегическии, стратегически, инвестиция, лидер, инвестиционныи, стратегия, политик, лидерство, капитал, инвестпрограмма, инвест, пасность, инвестор, политика, инвестирование, инвестировать, капиталь, факторинг, руководитель, лидерскии, менеджмент, главныи, опасение, столица, управленческии, отчетность, еженедельно, отчетности, опасность, капитализация, инвестмент, реакция, менеджер, председатель, капитальныи, акция, риска, глава, критическии, экран, риск, критически, фактор, инвестпроект, ценность, руководство, менеджерскии, металлоинвест, еженедельныи, управленец"
44,Трудовые отношения,44,"персонал, сотрудник, работник, кадровыи, зарплата, занятость, численность, увольнение, трудовои, работодатель, штат, сокращение, безработица, вакансия, должность, зарплатныи, начальник, профсоюз, служащии, уволить, менеджер, минтруд, секретарь, профориентация, трудоустроиство, секретариат, стажировка, нерабочии, администратор, уволиться, трудник, зачисление, отчисление, ведомость, факультет, сократить, департамент, специальность, трудиться, рабочии, резюме, сократиться, преподаватель, начисление, уменьшение, сокращаться, сокращать, квалифицировать, директор, рентабельность"
45,Благотворительность,45,"хоккеиныи, хоккеи, шахматы, спорт, турнир, чемпионат, шахматныи, спорткомплекс, команда, лига, дивизион, атлетика, сборная, олимпиада, кубок, конкуренция, спортивныи, югра, тренер, футбол, баскетбол, чемпион, баскетбольныи, спартакиада, гимнастика, футбольныи, стадион, кубанскии, гимназия, выиграть, спонсорство, конкурировать, медаль, спортсмен, спонсор, олимп, провинция, областнои, физкультура, спонсорскии, дивизиональныи, бокс, школа, кубань, чебоксары, соревнование, клуб, победить, олимпиискии, коучинга"
46,Инвестиции и капитальные вложения,46,"инвестиция, инвестиционныи, инвестпроект, инвестирование, инвестировать, инвест, фонд, фондовыи, капитал, инвестор, энергозатраты, капиталь, инвестированныи, фундамент, инвестпрограмма, инвестмент, инфраструктура, капитальныи, атомпроект, власть, реконструкция, финансирование, федерация, электростанция, финанс, энергохолдинг, финансироваться, энергоустановка, новгородэнерго, столица, финансировать, энергообъект, энерго, энергоатом, вкладывать, инстанция, амортизация, энергия, финансы, минэнерго, псковэнерго, магаданэнерго, энергосбытовыи, накладывать, аренда, энергокомплекс, энергоаудит, энергосбыт, возложение, дивиденд"
47,Трудовые отношения,47,"факторинг, работник, численность, коэффициент, персонал, расчет, сотрудник, фактор, увольнение, расчетныи, зарплата, ценность, производствен, элемент, деление, отчетность, зарплатныи, процент, рентабельность, величина, отпуск, занятость, промышленность, единство, периодичность, вычисление, профсоюз, обесценение, квалификация, коллектив, ликвидность, единица, среднесуточныи, взаиморасчет, девальвация, субъект, население, ведомость, фабрикация, показатель, безработица, разделение, отчетности, остаток, расход, выделение, норматив, популяция, пропорция, исчисление"
48,Трудовые отношения,48,"правомерность, работник, профсоюз, сотрудник, право, вправе, профсоюзныи, персонал, всесоюзныи, правоведение, увольнение, евросоюз, направо, правыи, гражданство, солидарность, правильныи, толерантность, культура, единство, гражданин, правонарушение, производствен, электропрофсоюз, трудовои, неправомерныи, уволить, уволиться, политик, правовои, безработица, честность, антикоррупция, коррупция, взаимоуважение, принцип, союз, равноправие, волонтерство, секретариат, справедливость, сторона, человеческии, норматив, уважение, подчинение, иностранныи, профориентация, юридическии, контрактация"
49,Безопасность и охрана здоровья,49,"катастрофа, аварииность, авария, разрушение, пожаротушение, опасность, событие, уничтожение, пожар, охрана, убыток, предупреждение, взрывчатыи, землетрясение, происшествие, мероприятие, возникновение, объект, фабрикация, пожароопасныи, опасение, пасность, сооружение, пожарныи, взрывнои, подготовка, учреждение, оповещение, уязвимость, аварииныи, опасныи, взрыв, охранныи, повреждение, разрушать, обстоятельство, атомныи, подразделение, деление, ведомство, безопасность, перевооружение, планирование, нарушитель, бригада, переподготовка, избыток, обстановка, спецификация, формирование"
50,Отношения с потребителями,50,"потребитель, потребительскии, клиент, клиентскии, обслуживание, процент, услуга, эквивалент, служба, потребление, энергосервисныи, энергосервис, обслуживающии, изменение, посетитель, горячии, роспотребнадзор, электростанция, теплоэнергетика, процентныи, ветроэнергетика, эквивалентныи, тарифныи, теплоэнергия, теплообменныи, окончание, тариф, сервис, энергия, заказчик, выслуга, новгородэнерго, посещаемость, сервисныи, теплообменник, обращение, окрестность, коммуникация, котельная, близость, злоупотребление, водопотребление, сегмент, преобразование, счетчик, энергосбытовыи, горячее, продление, климатическии, реформа"
51,Инвестиции и капитальные вложения,51,"инвестиционныи, инвестиция, инвестирование, инвестировать, инвестпроект, инвест, инвестор, инвестпрограмма, инвестированныи, инвестмент, металлоинвест, капитал, фондовыи, фонд, вкладывать, капиталь, накладывать, капитальныи, атомпроект, дивидендныи, столица, закладывать, дивиденд, фундамент, капитализация, резервирование, амортизация, информатизация, резервист, резервныи, возложение, резерв, атомэнергопром, патент, патентныи, местоположение, интеллект, дефолт, вложение, ворота, энергозатраты, повторяться, инвентаризация, прикладывать, индия, инфляция, инфраструктура, депозитарии, изложение, депозит"
52,Охрана здоровья,52,"медицина, поликлиника, диспансеризация, медицинскии, телемедицина, здравоохранение, клиника, минздрав, больница, пациент, полис, медик, медосмотр, областнои, заболеваемость, пандемия, врачебныи, инвалидность, ран, санатории, госпиталь, медсанчасть, оздоровление, клиническии, истечение, вакцинация, диагностическии, медикамент, врач, пресечение, медииныи, вакцина, провинция, лечение, больничныи, оздоровительныи, продлить, ранжирование, диагностик, болезнь, сечение, отделение, переити, иран, метрология, диагностика, мобилизация, цифровизация, продление, санаторныи"
53,Инвестиции и капитальные вложения,53,"инвестировать, инвестор, инвестирование, инвест, инвестпрограмма, инвестиционныи, инвестиция, инвестмент, инвестпроект, инвестированныи, металлоинвест, дивидендныи, дивиденд, заседание, акция, брокер, биржа, акционер, еврооблигация, совещание, акционерныи, облигация, открытость, холдинговыи, оповещение, дефолт, рыночныи, аудитория, непредвиденныи, собрание, вкладывать, совещательныи, известняк, брокерскии, наложить, накладывать, информирование, фонд, участие, холдинг, вложить, еженедельныи, еженедельно, реакция, встреча, осведомленность, девальвация, фондовыи, информироваться, информа"
54,Благотворительность,54,"образовательныи, школьник, образоваться, образование, обучение, ужесточение, школа, областнои, молодежь, обучаться, образовать, переобучение, гимназия, ммтс, вырастить, учиться, дочернии, регион, растительныи, учебныи, молодежныи, формироваться, подросток, провинция, академия, формировать, развиваться, становление, преподавание, площадь, формирование, село, учеба, развивать, учение, училище, интегрироваться, быстрорастущии, интранет, инвестиция, коммуникативныи, студент, продвигать, институт, вырасти, прирост, сеть, присоединение, продвинуть, реклассификация"
55,Профсоюзы и коллективные договоры,55,"профсоюз, профсоюзныи, всесоюзныи, электропрофсоюз, союз, евросоюз, трудовои, работник, зарплатныи, зарплата, работодатель, совместитель, рабочии, увольнение, совмещение, коллектив, объединение, трудиться, подрядныи, уволить, коллективныи, трудоустроиство, труд, уволиться, сотрудник, безработица, производствен, коллегиальныи, резюме, кадровыи, трудоустроить, коллегия, трудозатрата, единичныи, трудник, реформа, персонал, подрядчик, минтруд, единыи, контрактация, уплата, занятость, единство, служебныи, трудоспособныи, одновременныи, разделение, федерация, сокращение"
56,Трудовые отношения,56,"зарплата, работник, зарплатныи, профсоюз, профсоюзныи, работодатель, персонал, трудовои, сотрудник, увольнение, труд, кадровыи, электропрофсоюз, трудник, всесоюзныи, рабочии, трудиться, уплата, безработица, трудоустроиство, трудозатрата, коллектив, сокращение, занятость, минтруд, трудоустроить, вакансия, сокращать, трудоемкость, сокращаться, коллективныи, совместитель, отпуск, совмещение, трудоспособныи, ведомость, выплата, подрядчик, уволить, численность, компенсация, служащии, компенсационныи, уволиться, сократить, заработок, среднесуточныи, нерабочии, стажировка, коллегиальныи"
57,Отношения с потребителями,57,"потребитель, норматив, нормативныи, потребительскии, злоупотребление, продукт, санкция, нарушение, отчетность, роспотребнадзор, потребление, нормирование, стандартизация, санкционныи, маркетинговыи, факторинг, отчетности, товар, продукция, численность, товарныи, стандартныи, жалоба, стандарт, обесценение, моральныи, популяция, отношение, связанность, возникать, продуктовыи, нарушать, продуктивность, нестандартныи, коэффициент, ценность, промышленность, норма, претензия, наказание, товарооборот, требование, правонарушение, ассоциация, производствен, общественныи, объективность, общественность, кодекс, правомерность"
58,Оплата труда,58,"пенсия, пенсионныи, пенсионер, стипендия, соцсеть, ветеран, пособие, льготныи, работник, субсидия, уплата, зарплата, выплата, стаж, пожилое, дивидендныи, реформа, безработица, юбилеи, старость, трудовои, субсидирование, дивиденд, льгота, ветеранскии, пансионат, страховщик, увольнение, зарплатныи, инвалидность, фонд, среднесуточныи, кадровыи, шестьдесят, доходность, инфляция, доходы, доход, компенсация, социально, страхование, сотрудник, фондовыи, реформирование, стажировка, старение, компенсационныи, пенза, инвалид, юбилеиныи"
59,Безопасность и охрана здоровья,59,"федерация, коррупция, экономически, коррупционныи, экономическии, реорганизация, объединение, антикоррупция, делистинг, слияние, репутационныи, доходность, делить, взаиморасчет, связанность, инвестиция, девальвация, содружество, ликвидность, реорганизовать, экономика, конкурентность, взаимозачет, ассоциация, партнерство, разделение, московскии, предприниматель, ассоциированныи, соискание, прибыльность, отчетность, укрупненныи, закрывать, банкротство, еврооблигация, единство, недорогостоящии, быстрорастущии, финансово, ликвидация, доходныи, облигация, финансовыи, объективность, себестоимость, возгорание, конкуренция, инвестиционныи, факторинг"
60,Безопасность продукта,60,"кредитование, опасность, финансовыи, риска, риск, кредитор, ликвидность, кредитныи, пасность, еврооблигация, рисковои, ликвидация, иностранныи, функция, опасныи, обязательство, фективность, надежность, кредиторскии, финансово, рассрочка, кредит, взаимодеиствие, безопасность, брокер, функционально, внешнии, безопасныи, функциональныи, функционировать, функционал, валютныи, ликвидныи, дефолт, факторинг, гибкость, опасение, доверие, отсрочка, валюта, преподавание, волатильность, задолженность, долгов, внешэкономбанк, лизинговыи, характеризовать, курскии, долг, разрушение"
61,Трудовые отношения,61,"награда, награждение, премия, награднои, наградить, звание, медаль, лауреат, честь, вознаграждение, ветеран, достижение, зарплата, орден, зарплатныи, работник, льгота, мемориал, федерация, льготныи, мемориальныи, приз, присвоение, ограждение, ветеранскии, благополучатель, диплом, благополучие, победитель, взнос, должность, благосостояние, компенсация, градирня, сотрудник, пенсия, разряд, волонтерство, номинальныи, удостоверение, претендент, номинация, дивиденд, памятник, возмещение, начальник, подчинение, победа, трудник, призовои"
62,Налоги,62,"налогообложение, налог, налоговыи, бюджетныи, доходы, бюджет, доходность, доходныи, доход, субсидия, бюджетирование, республика, ндфл, рентабельныи, логичныи, фонд, приток, логия, фондовыи, выручка, млрд, федеральныи, бухгалтер, бухгалтерия, пенсия, финансирование, финансы, лог, зарплата, территория, зарплатныи, рентабельность, субсидирование, правительство, провинция, финанс, республиканскии, округа, инфраструктура, государство, прибыльность, финансироваться, взнос, отчисление, ндс, затратныи, округ, богатство, территориальныи, федерация"
63,Трудовые отношения,63,"персонал, работник, профсоюз, профсоюзныи, сотрудник, больничныи, коллектив, диспансеризация, кадровыи, всесоюзныи, увольнение, департамент, трудовои, пандемия, одновременныи, штат, электропрофсоюз, полис, формализация, коллективныи, рабочии, заболеваемость, вакансия, зарплата, численность, секретариат, зарплатныи, отдел, перерыв, занятость, коллегия, подразделение, уволиться, отделение, работодатель, единовременныи, должность, вакцинация, поликлиника, вакантныи, деление, безработица, эпидемия, единство, бригада, уволить, секретарь, выделение, минтруд, трудоустроиство"
64,Инвестиции и капитальные вложения,64,"инвестиция, инвестиционныи, брокер, биржа, инвестор, инвестировать, инвестирование, брокерскии, рыночныи, инвест, инвестпрограмма, маркетинговыи, капитал, ликвидность, внешнеторговыи, мосбиржа, металлоинвест, маркетинг, рынок, факторинг, капиталь, инвестированныи, дефолт, инвестмент, объективность, недвижимость, амортизация, биржевои, инвестпроект, преобразование, капитальныи, акция, макрорегион, холдинговыи, инвентаризация, ликвидация, еврооблигация, капитализация, многообразие, треидинговыи, ворота, облигация, транзакция, ликвидныи, внешэкономбанк, проспект, объективно, объективныи, депозитарии, сегмент"
65,Трудовые отношения,65,"работник, профсоюз, сотрудник, персонал, профсоюзныи, зарплата, зарплатныи, занятость, трудовои, электропрофсоюз, трудиться, работодатель, кадровыи, участие, увольнение, трудник, труд, безработица, участник, рабочии, коллектив, всесоюзныи, численность, трудоустроиство, трудоемкость, минтруд, квалифицировать, трудозатрата, резюме, заработок, трудоустроить, уволить, уволиться, служащии, трудоспособныи, вакансия, нерабочии, ведомость, участвовать, уплата, производствен, стажировка, поучаствовать, членство, трудность, подрядчик, коллегия, инвалидность, карьерныи, экипаж"
66,Безопасность и охрана здоровья,66,"безопасность, охрана, защищенность, охранныи, безопасныи, сохранность, безопасно, незащищенныи, защита, пасность, защитныи, охранять, защитить, защищать, сохранение, опасность, природоохранныи, секретариат, обеспеченность, риска, опасныи, небезопасныи, риск, политик, уверенность, секретарь, опасение, агрессивныи, безопас, неопасныи, надежность, уверенно, уверенныи, политика, рыбозащитныи, рисковои, стратегическии, стратегически, зона, уязвимость, территория, щит, птицезащитныи, обстановка, сохраняться, работник, сохраниться, консервативныи, промышленность, сохранить"
67,Трудовые отношения,67,"премия, награда, вознаграждение, награднои, руководитель, наградить, менеджер, дивиденд, пенсия, дивидендныи, возложение, членство, зарплата, компенсация, пенсионныи, награждение, менеджерскии, директор, администратор, стипендия, возведение, зарплатныи, продление, директорат, возмещение, иерархия, дирекция, продлить, лидер, возрождение, должность, пенсионер, исполнительныи, воздеиствие, отражать, элемент, работник, выплата, ректор, юбилеи, повторение, компонент, председатель, назначение, длина, факультет, компенсационныи, депутат, сотрудник, возглавить"
68,Безопасность и охрана здоровья,68,"безопасность, пасность, защищенность, безопасныи, опасение, защита, безопасно, незащищенныи, данные, охрана, защитить, опасность, уязвимость, защищать, обеспеченность, политик, защитныи, политика, антикоррупция, секретариат, охранныи, паспортизация, реформа, статистика, реформирование, атака, коррупционныи, преступныи, сохранность, достоверность, коррупция, информирование, щит, экран, информационныи, опасныи, преступление, птицезащитныи, верификация, изменение, информация, безопас, технологичность, сохранение, доверие, проникновение, охранять, наступление, информатизация, доверительныи"
69,Безопасность и охрана здоровья,69,"безопасность, природоохранныи, охрана, охранныи, сохранность, безопасныи, защищенность, безопасно, охранять, незащищенныи, защитныи, сохранение, пасность, экологичность, защита, экологическии, эколог, защитить, экологически, экологичныи, обеспеченность, окружение, обстановка, защищать, надежность, небезопасныи, уверенность, экосистема, безопас, опасность, консервативныи, здравоохранение, опасение, экология, экологиче, рыбозащитныи, окружающии, спасение, страхование, спасательныи, сбережение, сохраниться, экопросвещение, неопасныи, уязвимость, уверенныи, страховщик, опасныи, благонадежность, уверенно"
70,Трудовые отношения,70,"персонал, личностныи, поощрительныи, сотрудник, принудительныи, служащии, вовлеченность, своиство, ориентировочныи, владение, принадлежащии, наставничество, единомышленник, хозяиственныи, уполномоченныи, учредительныи, работник, население, участник, отстоиник, человечество, насыщенныи, гражданин, ознакомительныи, отечественныи, своиственныи, человек, гостеприимство, должность, посредник, лично, господдержка, владеть, содружество, народ, настольныи, субъективныи, соблюсти, дежурство, поручительство, родитель, несущии, одаренныи, человеческии, экскурсионныи, ориентир, обладатель, субъект, доверительныи, мировои"
71,Инвестиции и капитальные вложения,71,"фонд, фондовыи, фундамент, ндфл, основание, фон, финансирование, финанс, фундаментальныи, финансироваться, финансировать, основа, финансы, основатель, субгруппа, ндт, ресурс, инвестиция, доверие, инвестиционныи, предпосылка, опора, источник, инвестпроект, ресурсныи, поддержка, инвестпрограмма, инвест, учредитель, фоновыи, ндс, исходныи, базироваться, затрата, организатор, спонсорство, храм, инвестировать, основнои, экран, грунт, основываться, фокусироваться, отчетность, доверять, фосфор, периодичность, фосфат, инфраструктура, фокус"
72,Отношения с потребителями,72,"маркетинг, маркетинговыи, демографическии, детскии, факторинг, ребенок, дочернии, товар, объективность, подросток, товарныи, плодородие, фактор, родительскии, доходность, экономика, малыш, возраст, товарооборот, детство, продвижение, вырасти, продвигать, школьник, население, география, доход, маркетплеис, торговыи, рынок, понижение, многодетныи, быстрорастущии, объективныи, географическии, масштаб, магазин, гимназия, численность, маржинальность, рыночныи, доходы, возрастнои, направленность, масштабирование, доходныи, родитель, младшии, детмиро, сегмент"
73,Трудовые отношения,73,"отпуск, работник, профсоюз, увольнение, профсоюзныи, работодатель, сотрудник, праздник, каникулы, безработица, отдых, трудовои, трудник, зарплата, занятость, расписание, календарь, календарныи, электропрофсоюз, персонал, празднование, зарплатныи, трудиться, всесоюзныи, вакансия, труд, рабочии, уплата, еженедельныи, еженедельно, уволиться, нерабочии, кадровыи, перерыв, трудоустроиство, совместитель, больничныи, совмещение, отчисление, коллектив, начальник, трудоспособныи, недоотпуск, служащии, отдыхать, командировочныи, декретныи, выплачиваться, график, выплачивать"
74,Безопасность и охрана здоровья,74,"лекарство, препарат, медицина, лекарственныи, диспансеризация, здравоохранение, фармацевтика, поликлиника, инсулин, клиническии, пресечение, продвигать, продвижение, диабет, пациент, медицинскии, лечение, продвинуть, клиника, вакцинация, лизация, лечебныи, эпидемия, продвинуться, вакцина, реформирование, болезнь, телемедицина, евразия, больница, азия, стадия, донорскии, формализация, заболевание, популяризация, истечение, лизации, искоренение, уникальность, минздрав, стабилизация, реформа, продлить, доза, инвалидность, импортировать, формироваться, диагностическии, терапия"
75,Инвестиции и капитальные вложения,75,"капитал, капиталь, капитализация, капитальныи, инвестиция, факторинг, инвестиционныи, минприрода, характеризовать, природа, ликвидность, столица, инвестировать, ценность, инвестирование, фактор, себестоимость, инвест, отчетность, инвентаризация, ресурсныи, экономика, уникальность, природоохранныи, затрата, природныи, ископаемое, преемственность, девальвация, расход, площадь, поселение, ственность, характер, отдых, отчетности, ликвидация, убыток, обесценение, инвестмент, резервист, резервирование, акция, местность, экономист, амортизация, стратегическии, ресурс, фонд, открытость"
76,Безопасность и охрана здоровья,76,"пожар, пожарныи, пожароопасныи, пожаротушение, огонь, противопожарныи, катастрофа, авария, взрывчатыи, стрельба, возгорание, сгорание, выгорание, разрушение, освещение, охрана, бригада, взрывнои, охранныи, ведомство, аварииность, сооружение, кадровыи, безопасность, уничтожение, сжигание, опасность, страхование, взрыв, страховщик, страховои, подрядныи, уволить, строительныи, ведомственныи, инженер, сжигать, атомныи, профсоюз, инженерия, штаб, профсоюзныи, инженерныи, ураган, здание, предупреждение, электропрофсоюз, подготовка, затопление, освещаться"
77,Благотворительность,77,"экспедиция, культура, культурныи, памятник, восток, мемориал, мемориальныи, удмуртия, исторически, география, историческии, мурманск, территория, исследовать, территориальныи, новоуральск, рекультивация, геолог, завоевать, геология, углубление, макрорегион, фонд, изучать, удмуртскии, геологоразведка, дальневосточныи, изучение, восстанавливать, географическии, фондовыи, территориально, находка, изыскание, изучаться, поучаствовать, расследовать, амурскии, монастырь, ископаемое, владивосток, изучить, захоронение, реконструкция, извлечение, волонтерство, финансироваться, экскурсия, музеиныи, наследие"
78,Профсоюзы и коллективные договоры,78,"профсоюз, профсоюзныи, электропрофсоюз, всесоюзныи, работник, зарплата, зарплатныи, работодатель, трудовои, труд, трудиться, трудоустроиство, трудозатрата, безработица, рабочии, занятость, трудоустроить, трудник, евросоюз, увольнение, стажировка, производствен, союз, трудоемкость, вакансия, уплата, нерабочии, ведомость, сотрудник, трудоспособныи, уволиться, персонал, профориентация, работни, уволить, сокращение, рентабельность, отработка, трудность, заработок, реформа, резюме, совместитель, совмещение, карьерныи, подчиненныи, работ, участие, трудныи, стипендия"
79,Инвестиции и капитальные вложения,79,"актив, активист, активизация, активность, бухгалтерия, активныи, бухгалтер, бухгалтерскии, капитал, капиталь, инвентаризация, имущество, зачисление, капитальныи, активно, недвижимость, отчетность, капитализация, начисление, отчетности, подотчетность, нематериальныи, депозитарии, материал, активизировать, исчисление, счет, девальвация, объект, материальныи, отчета, ресурсныи, инвестиция, финансовыи, инвестирование, депозит, акция, фективность, долгов, отчисление, амортизация, инвестиционныи, учет, инвестмент, финансирование, деятельно, инвест, творческии, налогообложение, декларация"
80,Инвестиции и капитальные вложения,80,"биржа, мосбиржа, московскии, биржевои, факторинг, инвестировать, инвестирование, ликвидность, москва, облигация, брокер, еврооблигация, инвестиция, брокерскии, рыночныи, девальвация, инвестиционныи, инвест, обменныи, инвестор, капитал, инвестпрограмма, ликвидация, маркетинговыи, облигационныи, рационализация, амортизация, замосковныи, акция, валютныи, обменяться, теплообменныи, капиталь, реакция, мбир, изменение, инвестмент, рациональныи, обмениваться, ликвидныи, обмен, ключевои, фактор, коммуникативныи, капитальныи, валюта, рынок, эмоция, столица, микроклимат"
